,Submission,Title,Cited
1601,1602,Winning the CityLearn Challenge: Adaptive Optimization with Evolutionary Search under Trajectory-Based Guidance,3
613,614,Causes of Stability in Dynamic Coalition Formation,3
611,612,Finding Fair Allocations under Budget Constraints,3
669,670,Moral Machine or Tyranny of the Majority?,3
673,674,SWL-Adapt: An Unsupervised Domain Adaptation Model with Sample Weight Learning for Cross-User Wearable Human Activity Recognition,3
386,387,ConvMatch: Rethinking Network Design for Two-View Correspondence Learning,3
1459,1460,LIQUID: A Framework for List Question Answering Dataset Generation,3
56,57,Head-Free Lightweight Semantic Segmentation with Linear Transformer,3
1430,1431,Learning to Select from Multiple Options,3
1436,1437,SumREN: Summarizing Reported Speech about Events in News,3
744,745,Approximating Full Conformal Prediction at Scale via Influence Functions,3
1721,1722,Foundations of Cooperative AI,3
1716,1717,Evaluating Model-Free Reinforcement Learning toward Safety-Critical Tasks,3
1454,1455,Prototypical Fine-Tuning: Towards Robust Performance under Varying Data Sizes,3
1700,1701,DPAUC: Differentially Private AUC Computation in Federated Learning,3
1501,1502,AUC Maximization for Low-Resource Named Entity Recognition,3
1693,1694,Safe Policy Improvement for POMDPs via Finite-State Controllers,3
1328,1329,Improvement-Focused Causal Recourse (ICR),3
696,697,Abstract Argumentation Framework with Conditional Preferences,3
1491,1492,Learning Compositional Tasks from Language Instructions,3
41,42,Hybrid CNN-Transformer Feature Fusion for Single Image Deraining,3
687,688,Better Peer Grading through Bayesian Inference,3
1659,1660,SafeLight: A Reinforcement Learning Method toward Collision-Free Traffic Signal Control,3
90,91,Parameter-Efficient Model Adaptation for Vision Transformers,3
133,134,Learning to Learn Better for Video Object Segmentation,3
259,260,PUPS: Point Cloud Unified Panoptic Segmentation,3
949,950,"I'm Me, We're Us, and I'm Us: Tri-directional Contrastive Learning on Hypergraphs",3
1322,1323,Towards Robust Metrics for Concept Representation Evaluation,3
1258,1259,When Neural Networks Fail to Generalize? A Model Sensitivity Perspective,3
1039,1040,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,3
1211,1212,CEM: Constrained Entropy Maximization for Task-Agnostic Safe Exploration,3
96,97,PointCA: Evaluating the Robustness of 3D Point Cloud Completion Models against Adversarial Examples,3
901,902,MNER-QG: An End-to-End MRC Framework for Multimodal Named Entity Recognition with Query Grounding,3
961,962,Causal Recurrent Variational Autoencoder for Medical Time Series Generation,3
1200,1201,Semidefinite Programming versus Burer-Monteiro Factorization for Matrix Sensing,3
955,956,Optimism in Face of a Context: Regret Guarantees for Stochastic Contextual MDP,3
1275,1276,Adaptive Policy Learning for Offline-to-Online Reinforcement Learning,3
1249,1250,ImGCL: Revisiting Graph Contrastive Learning on Imbalanced Node Classification,3
1891,1892,Demystify the Gravity Well in the Optimization Landscape (Student Abstract),3
1277,1278,CowClip: Reducing CTR Prediction Model Training Time from 12 Hours to 10 Minutes on 1 GPU,3
105,106,Boosting Point Clouds Rendering via Radiance Mapping,3
1033,1034,Adaptive Perturbation-Based Gradient Estimation for Discrete Latent Variable Models,3
200,201,RADIANT: Radar-Image Association Network for 3D Object Detection,3
258,259,Text-DIAE: A Self-Supervised Degradation Invariant Autoencoder for Text Recognition and Document Enhancement,3
1202,1203,T2G-FORMER: Organizing Tabular Features into Relation Graphs Promotes Heterogeneous Feature Interaction,3
208,209,Semantic 3D-Aware Portrait Synthesis and Manipulation Based on Compositional Neural Radiance Field,3
1293,1294,Emergent Quantized Communication,3
157,158,Panoramic Video Salient Object Detection with Ambisonic Audio Guidance,3
924,925,CertiFair: A Framework for Certified Global Fairness of Neural Networks,3
998,999,Coupling Artificial Neurons in BERT and Biological Neurons in the Human Brain,3
147,148,Learning Motion-Robust Remote Photoplethysmography through Arbitrary Resolution Videos,3
1228,1229,GOHSP: A Unified Framework of Graph and Optimization-Based Heterogeneous Structured Pruning for Vision Transformer,3
1216,1217,Flow to Control: Offline Reinforcement Learning with Lossless Primitive Discovery,3
1237,1238,Coordinate Descent Methods for DC Minimization: Optimality Conditions and Global Convergence,3
136,137,MultiAct: Long-Term 3D Human Motion Generation from Multiple Action Labels,2
1034,1035,Why Capsule Neural Networks Do Not Scale: Challenging the Dynamic Parse-Tree Assumption,2
712,713,Untangled: A Complete Dynamic Topological Logic,2
711,712,Monitoring Arithmetic Temporal Properties on Finite Traces,2
1690,1691,Improving Training and Inference of Face Recognition Models via Random Temperature Scaling,2
198,199,StereoDistill: Pick the Cream from LiDAR for Distilling Stereo-Based 3D Object Detection,2
1686,1687,Certified Policy Smoothing for Cooperative Multi-Agent Reinforcement Learning,2
936,937,The Influence of Dimensions on the Complexity of Computing Decision Trees,2
1987,1988,ConceptX: A Framework for Latent Concept Analysis,2
1482,1483,Boosting Few-Shot Text Classification via Distribution Estimation,2
1087,1088,Continual Learning with Scaled Gradient Projection,2
1548,1549,Factual and Informative Review Generation for Explainable Recommendation,2
994,995,Reliable Robustness Evaluation via Automatically Constructed Attack Ensembles,2
193,194,CoordFill: Efficient High-Resolution Image Inpainting via Parameterized Coordinate Querying,2
600,601,Bootstrapping Multi-View Representations for Fake News Detection,2
1492,1493,SPRING: Situated Conversation Agent Pretrained with Multimodal Questions from Incremental Layout Graph,2
1670,1671,Formalising the Robustness of Counterfactual Explanations for Neural Networks,2
190,191,Reducing Domain Gap in Frequency and Spatial Domain for Cross-Modality Domain Adaptation on Medical Image Segmentation,2
601,602,Overcoming Forgetting in Fine-Grained Urban Flow Inference via Adaptive Knowledge Replay,2
685,686,Collective Intelligence in Human-AI Teams: A Bayesian Theory of Mind Approach,2
1089,1090,Losses over Labels: Weakly Supervised Learning via Direct Loss Construction,2
187,188,Low-Light Video Enhancement with Synthetic Event Guidance,2
1473,1474,DyRRen: A Dynamic Retriever-Reranker-Generator Model for Numerical Reasoning over Tabular and Textual Data,2
583,584,Better Context Makes Better Code Language Models: A Case Study on Function Call Argument Completion,2
49,50,Adversarial Alignment for Source Free Object Detection,2
468,469,Learning Representations of Bi-level Knowledge Graphs for Reasoning beyond Link Prediction,2
1432,1433,Diffuser: Efficient Transformers with Multi-Hop Attention Diffusion for Long Sequences,2
1433,1434,Cogito Ergo Summ: Abstractive Summarization of Biomedical Papers via Semantic Parsing Graphs and Consistency Rewards,2
100,101,Resolving Task Confusion in Dynamic Expansion Architectures for Class Incremental Learning,2
1579,1580,Med-EASi: Finely Annotated Dataset and Models for Controllable Simplification of Medical Texts,2
395,396,ShiftDDPMs: Exploring Conditional Diffusion Models by Shifting Diffusion Trajectories,2
396,397,Combating Unknown Bias with Effective Bias-Conflicting Scoring and Gradient Alignment,2
748,749,Clustering What Matters: Optimal Approximation for Clustering with Outliers,2
747,748,Utilizing Prior Solutions for Reward Shaping and Composition in Entropy-Regularized Reinforcement Learning,2
746,747,Symbolic Metamodels for Interpreting Black-Boxes Using Primitive Functions,2
400,401,BEST: BERT Pre-training for Sign Language Recognition with Coupling Tokenization,2
1439,1440,Generating Coherent Narratives by Learning Dynamic and Discrete Entity States with a Contrastive Framework,2
739,740,Visually Grounded Commonsense Knowledge Acquisition,2
585,586,HG-SL: Jointly Learning of Global and Local User Spreading Behavior for Fake News Early Detection,2
1715,1716,Robustness to Spurious Correlations Improves Semantic Out-of-Distribution Detection,2
414,415,Refined Semantic Enhancement towards Frequency Diffusion for Video Captioning,2
730,731,Learning Interpretable Temporal Properties from Positive Examples Only,2
1079,1080,Planning and Learning with Adaptive Lookahead,2
419,420,Dual Memory Units with Uncertainty Regulation for Weakly Supervised Video Anomaly Detection,2
1463,1464,Reviewing Labels: Label Graph Network with Top-k Prediction Set for Relation Extraction,2
584,585,MetaTPTrans: A Meta Learning Approach for Multilingual Code Representation Learning,2
