,Submission,Title,Cited
368,1257,Motion Inspired Unsupervised Perception and Prediction in Autonomous Driving,10
487,1824,BayesCap: Bayesian Identity Cap for Calibrated Uncertainty in Frozen Neural Networks,9
181,160,Temporal Lift Pooling for Continuous Sign Language Recognition,9
472,1746,Blind Image Decomposition,9
868,3989,Predicting is not Understanding: Recognizing and Addressing Underspecification in Machine Learning,9
924,4243,Unifying Event Detection and Captioning as Sequence Generation via Pre-Training,9
878,4021,UnrealEgo: A New Dataset for Robust Egocentric 3D Human Motion Capture,9
596,2459,Unsupervised Deep Multi-Shape Matching,9
73,3601,Event-guided Deblurring of Unknown Exposure Time Videos,9
598,2483,EAutoDet: Efficient Architecture Search for Object Detection,9
212,343,DID-M3D: Decoupling Instance Depth for Monocular 3D Object Detection,9
1583,7545,Latent Space Smoothing for Individually Fair Representations,9
1058,4807,Perspective Flow Aggregation for Data-Limited 6D Object Pose Estimation,9
77,3727,OPD: Single-view 3D Openable Part Detection,9
1055,4800,DLME: Deep Local-flatness Manifold Embedding,9
704,3116,Towards Interpretable Video Super-Resolution via Alternating Optimization,9
421,1506,Not Just Streaks: Towards Ground Truth for Single Image Deraining,9
1418,6519,Tree Structure-Aware Few-Shot Image Classification via Hierarchical Aggregation,9
420,1493,Quantized GAN for Complex Music Generation from Dance Videos,9
426,1525,Waymo Open Dataset: Panoramic Video Panoptic Segmentation,9
304,939,Video Mask Transfiner for High-Quality Video Instance Segmentation,9
759,3387,"Spotting Temporally Precise, Fine-Grained Events in Video",9
530,2057,AvatarCap: Animatable Avatar Conditioned Monocular Human Volumetric Capture,9
1498,6990,"FEAR: Fast, Efficient, Accurate and Robust Visual Tracker",9
662,2804,REALY: Rethinking the Evaluation of 3D Face Reconstruction,9
1015,4593,Cross-Domain Ensemble Distillation for Domain Generalization,9
1305,5961,Global Spectral Filter Memory Network for Video Object Segmentation,9
91,4591,SimCC: a Simple Coordinate Classification Perspective for Human Pose Estimation,9
10,415,Recurrent Bilinear Optimization for Binary Neural Networks,9
637,2652,NSNet: Non-saliency Suppression Sampler for Efficient Video Recognition,9
87,4508,Perceiving and Modeling Density for Image Dehazing,9
