Submission,Title,Cited
1970,SemanticStyleGAN: Learning Compositional Generative Priors for Controllable Image Synthesis and Editing,34
666,Hallucinated Neural Radiance Fields in the Wild,34
232,Generating Useful Accident-Prone Driving Scenarios via a Learned Traffic Prior,34
137,Lepard: Learning Partial Point Cloud Matching in Rigid and Deformable Scenes,34
1243,Learn From Others and Be Yourself in Heterogeneous Federated Learning,34
1913,Unpaired Deep Image Deraining Using Dual Contrastive Learning,34
1705,SGTR: End-to-End Scene Graph Generation With Transformer,34
823,"Video K-Net: A Simple, Strong, and Unified Baseline for Video Segmentation",34
351,Detecting Camouflaged Object in Frequency Domain,34
38,CLRNet: Cross Layer Refinement Network for Lane Detection,34
1845,Localization Distillation for Dense Object Detection,34
1425,Can Neural Nets Learn the Same Model Twice? Investigating Reproducibility and Double Descent From the Decision Boundary Perspective,33
1495,InOut: Diverse Image Outpainting via GAN Inversion,33
348,IterMVS: Iterative Probability Estimation for Efficient Multi-View Stereo,33
671,Multimodal Token Fusion for Vision Transformers,33
1408,CRAFT: Cross-Attentional Flow Transformer for Robust Optical Flow,33
1975,Self-Augmented Unpaired Image Dehazing via Density and Depth Decomposition,33
401,Cross Modal Retrieval With Querybank Normalisation,33
1720,Deep Color Consistent Network for Low-Light Image Enhancement,33
740,Balanced Multimodal Learning via On-the-Fly Gradient Modulation,33
1505,The Devil Is in the Labels: Noisy Label Correction for Robust Scene Graph Generation,32
1825,Exploring the Equivalence of Siamese Self-Supervised Learning via a Unified Gradient Framework,32
1014,Adaptive Early-Learning Correction for Segmentation From Noisy Annotations,32
2052,UBnormal: New Benchmark for Supervised Open-Set Video Anomaly Detection,32
1777,Are Multimodal Transformers Robust to Missing Modality?,32
1579,Probing Representation Forgetting in Supervised and Unsupervised Continual Learning,32
1121,GEN-VLKT: Simplify Association and Enhance Interaction Understanding for HOI Detection,32
516,Sparse Instance Activation for Real-Time Instance Segmentation,32
1956,Injecting Semantic Concepts Into End-to-End Image Captioning,32
1654,Bending Reality: Distortion-Aware Transformers for Adapting to Panoramic Semantic Segmentation,32
275,Human Mesh Recovery From Multiple Shots,32
1288,Stacked Hybrid-Attention and Group Collaborative Learning for Unbiased Scene Graph Generation,32
1134,Rethinking Efficient Lane Detection via Curve Modeling,32
1829,Domain Generalization via Shuffled Style Assembly for Face Anti-Spoofing,32
276,Improving Adversarial Transferability via Neuron Attribution-Based Attacks,32
60,Long-Short Temporal Contrastive Learning of Video Transformers,31
944,EnvEdit: Environment Editing for Vision-and-Language Navigation,31
1569,Hyperbolic Vision Transformers: Combining Improvements in Metric Learning,31
1011,Kernelized Few-Shot Object Detection With Efficient Integral Aggregation,31
132,Invariant Grounding for Video Question Answering,31
122,CLIMS: Cross Language Image Matching for Weakly Supervised Semantic Segmentation,31
2034,EDTER: Edge Detection With Transformer,31
599,Pastiche Master: Exemplar-Based High-Resolution Portrait Style Transfer,31
1006,Ditto: Building Digital Twins of Articulated Objects From Interaction,31
199,POCO: Point Convolution for Surface Reconstruction,31
2046,Protecting Celebrities From DeepFake With Identity Consistency Transformer,30
1362,SIGMA: Semantic-Complete Graph Matching for Domain Adaptive Object Detection,30
472,Self-Supervised Image-Specific Prototype Exploration for Weakly Supervised Semantic Segmentation,30
323,MixFormer: Mixing Features Across Windows and Dimensions,30
807,TCTrack: Temporal Contexts for Aerial Tracking,30
1419,Cloth-Changing Person Re-Identification From a Single Image With Gait Prediction and Regularization,30
1399,SHIFT: A Synthetic Driving Dataset for Continuous Multi-Task Domain Adaptation,30
191,ObjectFolder 2.0: A Multisensory Object Dataset for Sim2Real Transfer,30
590,Protecting Facial Privacy: Generating Adversarial Identity Masks via Style-Robust Makeup Transfer,30
37,Stochastic Trajectory Prediction via Motion Indeterminacy Diffusion,30
54,High-Resolution Face Swapping via Latent Semantics Disentanglement,30
1275,Progressively Generating Better Initial Guesses Towards Next Stages for High-Quality Human Motion Prediction,30
1977,LiDAR Snowfall Simulation for Robust 3D Object Detection,30
687,PatchFormer: An Efficient Point Transformer With Patch Attention,30
1566,gDNA: Towards Generative Detailed Neural Avatars,30
720,PCL: Proxy-Based Contrastive Learning for Domain Generalization,30
826,Local Learning Matters: Rethinking Data Heterogeneity in Federated Learning,30
843,Source-Free Domain Adaptation via Distribution Estimation,30
1528,Stochastic Variance Reduced Ensemble Adversarial Attack for Boosting the Adversarial Transferability,30
1475,BigDatasetGAN: Synthesizing ImageNet With Pixel-Wise Annotations,30
143,VISTA: Boosting 3D Object Detection via Dual Cross-VIew SpaTial Attention,30
1451,Lifelong Graph Learning,30
725,SimVP: Simpler Yet Better Video Prediction,30
288,FreeSOLO: Learning To Segment Objects Without Annotations,30
909,Comprehending and Ordering Semantics for Image Captioning,29
495,Leveraging Real Talking Faces via Self-Supervision for Robust Forgery Detection,29
1856,Human-Aware Object Placement for Visual Environment Reconstruction,29
757,Burst Image Restoration and Enhancement,29
820,DoubleField: Bridging the Neural Surface and Radiance Fields for High-Fidelity Human Reconstruction and Rendering,29
921,Reduce Information Loss in Transformers for Pluralistic Image Inpainting,29
95,Discrete Cosine Transform Network for Guided Depth Map Super-Resolution,29
31,Blind2Unblind: Self-Supervised Image Denoising With Visible Blind Spots,29
1472,MSDN: Mutually Semantic Distillation Network for Zero-Shot Learning,29
1586,Many-to-Many Splatting for Efficient Video Frame Interpolation,29
1498,Revisiting the Transferability of Supervised Pretraining: An MLP Perspective,28
17,Siamese Contrastive Embedding Network for Compositional Zero-Shot Learning,28
1529,Unknown-Aware Object Detection: Learning What You Don't Know From Videos in the Wild,28
794,High-Resolution Image Harmonization via Collaborative Dual Transformations,28
2012,LISA: Learning Implicit Shape and Appearance of Hands,28
385,Layer-Wised Model Aggregation for Personalized Federated Learning,28
878,Recall@k Surrogate Loss With Large Batches and Similarity Mixup,28
1714,GCR: Gradient Coreset Based Replay Buffer Selection for Continual Learning,28
277,Better Trigger Inversion Optimization in Backdoor Scanning,28
2042,Semantic-Aware Domain Generalized Segmentation,28
733,Equalized Focal Loss for Dense Long-Tailed Object Detection,28
1120,P3Depth: Monocular Depth Estimation With a Piecewise Planarity Prior,28
1004,Debiased Learning From Naturally Imbalanced Pseudo-Labels,28
867,BoostMIS: Boosting Medical Image Semi-Supervised Learning With Adaptive Pseudo Labeling and Informative Active Annotation,27
380,JoinABLe: Learning Bottom-Up Assembly of Parametric CAD Joints,27
1373,ObjectFormer for Image Manipulation Detection and Localization,27
